url,page_type,locale,inbound_links,unique_inbound_pages,crawl_depth,hub_membership,related_tool_links,related_guide_links,related_workflow_links,status
https://funnytools.win/en/tools/independent-samples-t-test-calculator/,tool,en,10,10,1,/en/category/statistics/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/,hub,en,194,194,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/;/es/herramientas/;/fr/outils/;/tools/,89,0,0,OK
https://funnytools.win/en/tools/inflation/,tool,en,12,12,1,/en/category/money/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/jpg-to-png/,tool,en,18,18,1,/en/category/image/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/jpg-to-webp/,tool,en,15,15,1,/en/category/image/;/en/;/en/tools/,13,2,0,OK
https://funnytools.win/en/tools/json-formatter/,tool,en,23,23,1,/en/category/text/;/en/;/en/tools/,13,2,1,OK
https://funnytools.win/en/tools/json-to-csv/,tool,en,10,10,1,/en/category/text/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/markdown-previewer/,tool,en,9,9,1,/en/category/text/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/merge-pdf/,tool,en,27,27,1,/en/category/pdf/;/en/;/en/tools/,13,4,2,OK
https://funnytools.win/en/tools/mortgage-payment/,tool,en,13,13,1,/en/category/money/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/net-salary/,tool,en,12,12,1,/en/category/money/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/normalized-score-converter/,tool,en,13,13,1,/en/category/statistics/;/en/;/en/tools/,12,0,0,OK
https://funnytools.win/en/tools/overtime-pay/,tool,en,13,13,1,/en/category/money/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/password-generator/,tool,en,13,13,1,/en/category/random/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/pdf-compressor/,tool,en,27,27,1,/en/category/pdf/;/en/;/en/tools/,13,4,2,OK
https://funnytools.win/en/tools/pdf-page-reorder/,tool,en,22,22,1,/en/category/pdf/;/en/;/en/tools/,13,4,0,OK
https://funnytools.win/en/tools/pdf-table-to-excel/,tool,en,7,7,1,/en/category/pdf/;/en/;/en/tools/,11,2,0,OK
https://funnytools.win/en/tools/pdf-to-image/,tool,en,23,23,1,/en/category/pdf/;/en/;/en/tools/,13,4,0,OK
https://funnytools.win/en/tools/pdf-to-word/,tool,en,12,12,1,/en/category/pdf/;/en/;/en/tools/,11,4,0,OK
https://funnytools.win/en/tools/percentage-calculator/,tool,en,11,11,1,/en/category/statistics/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/percentile-rank-calculator/,tool,en,21,21,1,/en/category/statistics/;/en/;/en/tools/,13,1,1,OK
https://funnytools.win/en/tools/pie-chart-maker/,tool,en,13,13,1,/en/category/draw/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/png-to-jpg/,tool,en,23,23,1,/en/category/image/;/en/;/en/tools/,13,2,0,OK
https://funnytools.win/en/tools/pomodoro-timer/,tool,en,14,14,1,/en/category/time/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/qr-code-generator/,tool,en,41,41,1,/en/category/image/;/en/;/en/tools/,14,4,2,OK
https://funnytools.win/en/tools/random-group-generator/,tool,en,32,32,1,/en/category/random/;/en/;/en/tools/,13,4,1,OK
https://funnytools.win/en/tools/random-name-picker/,tool,en,22,22,1,/en/category/random/;/en/;/en/tools/,13,2,2,OK
https://funnytools.win/en/tools/random-number-picker/,tool,en,23,23,1,/en/category/random/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/random-student-picker/,tool,en,26,26,1,/en/category/study/;/en/;/en/tools/,13,4,1,OK
https://funnytools.win/en/tools/random-wheel/,tool,en,19,19,1,/en/category/random/;/en/;/en/tools/,13,1,2,OK
https://funnytools.win/en/tools/remove-duplicate-lines/,tool,en,12,12,1,/en/category/text/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/remove-empty-lines/,tool,en,13,13,1,/en/category/text/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/rotate-pdf/,tool,en,11,11,1,/en/category/pdf/;/en/;/en/tools/,13,0,1,OK
https://funnytools.win/en/tools/savings-goal/,tool,en,13,13,1,/en/category/money/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/seating-chart/,tool,en,19,19,1,/en/category/study/;/en/;/en/tools/,13,4,1,OK
https://funnytools.win/en/tools/sketchpad/,tool,en,13,13,1,/en/category/draw/;/en/;/en/tools/,14,0,0,OK
